observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
pSTAT5A_rel		model1_data1	7.90107299873911	0.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	66.3634939682528	2.5		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	81.1713239165337	5.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	94.7303080627876	10.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	95.1164830493244	15.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	91.44171655392	20.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	91.2570992263545	30.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	93.672297840992	40.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	88.754232823019	50.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	85.2697032178279	60.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	81.1323953369608	80.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	76.135928475796	100.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	65.2480591250229	120.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	42.5996587097166	160.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	25.1577975445976	200.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	15.4301823994994	240.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5B_rel		model1_data1	4.59653334288927	0.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	29.6345459874189	2.5		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	46.0438064695701	5.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	81.9747336191685	10.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	80.5716092952489	15.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	79.0357196371442	20.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	75.6723803658298	30.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	71.6247198618303	40.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	69.0628632755742	50.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	67.1473843168934	60.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	60.8994762938824	80.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	54.8092577721492	100.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	43.9812899778025	120.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	29.7714581636675	160.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	20.089016562771	200.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	10.961845166698	240.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
rSTAT5A_rel		model1_data1	14.7231682180584	0.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	33.762342293107	2.5		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	36.7998512942493	5.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	49.7176022859654	10.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	46.9281200952955	15.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	47.8365745550135	20.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	46.9287272497385	30.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	40.5977529351181	40.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	43.783663885071	50.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	44.4573876523855	60.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	41.3271592618297	80.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	41.0627332148332	100.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	39.2358300289377	120.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	36.6194605442418	160.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	34.8937144010561	200.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	32.2110771608676	240.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel